"1404-03-20 4acs@720/725/730/735-ES@Quant@"
"Solution Label","Batch Label","Customer Id","Customer Label","Type","Element","Flags","Soln Conc","Units","Corr Con","Units","Int","Internal Std","Date","Time","SD","RSD","IntSD","IntRSD","Coeff 1","Coeff 2","Coeff 3","Act Wgt","Act Vol","DF","NumReps","Replicates",
"Blank","","","","Blk","Ag 328.068","",0,"ppm",0,"ppm",10.4624,"-","6/10/2025","12:19:52",0.0,0.0,"0","0",20.9796,4894.89,0,1,1,1,1,10.4624,""
"Blank","","","","Blk","Ag 338.289","",0,"ppm",0,"ppm",1.02918,"-","6/10/2025","12:19:52",0.0,0.0,"0","0",2.54073,818.325,0,1,1,1,1,1.02917,""
"Blank","","","","Blk","Al 308.215","",0,"ppm",0,"ppm",28.7796,"-","6/10/2025","12:19:52",0.0,0.0,"0","0",162.919,283.514,0,1,1,1,1,28.7796,""
"Blank","","","","Blk","Al 396.152","",0,"ppm",0,"ppm",27.9868,"-","6/10/2025","12:19:52",0.0,0.0,"0","0",128.57,1858.45,0,1,1,1,1,27.9868,""
"Blank","","","","Blk","As 188.980","",0,"ppm",0,"ppm",1.20437,"-","6/10/2025","12:19:52",0.0,0.0,"0","0",1.80046,30.6012,0,1,1,1,1,1.20437,""
"Blank","","","","Blk","As 234.984","",0,"ppm",0,"ppm",25.0256,"-","6/10/2025","12:19:52",0.0,0.0,"0","0",23.9306,23.4923,0,1,1,1,1,25.0256,""
"Blank","","","","Blk","B 249.678","",0,"ppm",0,"ppm",144.926,"-","6/10/2025","12:19:52",0.0,0.0,"0","0",87.899,1357.51,0,1,1,1,1,144.926,""
"Blank","","","","Blk","B 249.772","",0,"ppm",0,"ppm",285.475,"-","6/10/2025","12:19:52",0.0,0.0,"0","0",189.35,2719.61,0,1,1,1,1,285.476,""
"Blank","","","","Blk","Ba 455.403","",0,"ppm",0,"ppm",89.3154,"-","6/10/2025","12:19:52",0.0,0.0,"0","0",5250.02,177961,0,1,1,1,1,89.3154,""
"Blank","","","","Blk","Ba 493.408","",0,"ppm",0,"ppm",30.2949,"-","6/10/2025","12:19:52",0.0,0.0,"0","0",4445.74,159428,0,1,1,1,1,30.2949,""
"Blank","","","","Blk","Bi 223.061","",0,"ppm",0,"ppm",1.5044,"-","6/10/2025","12:19:52",0.0,0.0,"0","0",-13.0105,65.919,0,1,1,1,1,1.5044,""
"Blank","","","","Blk","Bi 306.771","",0,"ppm",0,"ppm",551.82,"-","6/10/2025","12:19:52",0.0,0.0,"0","0",483.639,275.07,0,1,1,1,1,551.82,""
"Blank","","","","Blk","Ca 317.933","",0,"ppm",0,"ppm",107.113,"-","6/10/2025","12:19:52",0.0,0.0,"0","0",3553.72,3762.1,0,1,1,1,1,107.113,""
"Blank","","","","Blk","Ca 396.847","",0,"ppm",0,"ppm",4930.14,"-","6/10/2025","12:19:52",0.0,0.0,"0","0",23558.3,192150,0,1,1,1,1,4930.14,""
"Blank","","","","Blk","Ca 422.673","",0,"ppm",0,"ppm",3.2749,"-","6/10/2025","12:19:52",0.0,0.0,"0","0",143.384,1913.07,0,1,1,1,1,3.2749,""
"Blank","","","","Blk","Cd 214.439","",0,"ppm",0,"ppm",5.35409,"-","6/10/2025","12:19:52",0.0,0.0,"0","0",7.43569,647.659,0,1,1,1,1,5.35409,""
"Blank","","","","Blk","Cd 226.502","",0,"ppm",0,"ppm",6.68417,"-","6/10/2025","12:19:52",0.0,0.0,"0","0",24.9057,1762.86,0,1,1,1,1,6.68417,""
"Blank","","","","Blk","Ce 418.659","",0,"ppm",0,"ppm",5.87256,"-","6/10/2025","12:19:52",0.0,0.0,"0","0",-84.6989,2173.58,0,1,1,1,1,5.87256,""
"Blank","","","","Blk","Ce 446.021","",0,"ppm",0,"ppm",3.55859,"-","6/10/2025","12:19:52",0.0,0.0,"0","0",-86.5992,2541.32,0,1,1,1,1,3.55859,""
"Blank","","","","Blk","Co 228.615","",0,"ppm",0,"ppm",2.35574,"-","6/10/2025","12:19:52",0.0,0.0,"0","0",7.18828,619.36,0,1,1,1,1,2.35574,""
"Blank","","","","Blk","Co 230.786","",0,"ppm",0,"ppm",4.92207,"-","6/10/2025","12:19:52",0.0,0.0,"0","0",10.3072,471.972,0,1,1,1,1,4.92207,""
"Blank","","","","Blk","Co 231.160","",0,"ppm",0,"ppm",5.2414,"-","6/10/2025","12:19:52",0.0,0.0,"0","0",7.01174,310.495,0,1,1,1,1,5.2414,""
"Blank","","","","Blk","Cr 267.716","",0,"ppm",0,"ppm",11.1161,"-","6/10/2025","12:19:52",0.0,0.0,"0","0",30.047,2009.21,0,1,1,1,1,11.1161,""
"Blank","","","","Blk","Cr 283.563","",0,"ppm",0,"ppm",19.1978,"-","6/10/2025","12:19:52",0.0,0.0,"0","0",74.1269,3616.86,0,1,1,1,1,19.1978,""
