,CRM ID,Analysis Method,Ag,Al,Al2O3,As,Au,B,Ba,BaO,Be,BeO,Bi,C,C-(Carbonate),C-(Graphite),Ca,CaO,Cd,Ce,CeO2,Cl,Co,Cr,Cr2O3,Cs,Cu,Cu-Res(4A),Cu-Sol(CN),Cu-Sol(H2SO4),Cu-Tot(Calc),Dy,Dy2O3,Er,Er2O3,Eu,Eu2O3,F,Fe,Fe(Calc),Fe2+,Fe2O3,Fe3+,Fe3O4,FeO,Ga,Ga2O3,Gd,Gd2O3,Ge,H2O-,Hf,HfO2,Hg,Ho,Ho2O3,In,Ir,K,K2O,LOI1000,LOI300-1000,LOI371,LOI425,LOI650,La,La2O3,Li,Li2O,Lu,Lu2O3,MOI300,MassRec,Mg,MgO,Mn,MnO,Mo,Na,Na2O,Nb,Nb2O5,Nd,Nd2O3,Ni,NiO,Os,P,P2O5,Pb,PbO,Pd,Pr,Pr6O11,Pt,Rb,Re,Rh,Ru,S,S-(Sulphate),S-(Sulphide),SG,SO3,Sb,Sc,Se,Si,SiO2,Sm,Sm2O3,Sn,SnO2,Sr,SrO,Ta,Ta2O5,Tb,Tb4O7,Te,Th,ThO2,Ti,TiO2,Tl,Tm,Tm2O3,U,U3O8,V,V2O5,W,WO3,Y,Y2O3,Yb,Yb2O3,Zn,ZnO,Zr,ZrO2
0,AC18.10657,Various analytical methods,0.0,0.0,142316.0,0.495,0.0,49.5,260.997,0.0,1.27277,0.0,1.98,0.0,0.0,0.0,0.0,84159.0,9.9,36.7345,0.0,0.0,46.0572,0.0,368.625,0.817077,51.5305,0.0,0.0,0.0,0.0,4.41928,0.0,2.25006,0.0,1.6553,0.0,0.0,0.0,0,0,113370.0,0,0.0,0.0,19.591,0.0,5.25668,0.0,1.2934,0.0,0.0,0.0,0.0,0.832746,0.0,0.198,0.0,0.0,9014.33,0.0,0.0,0.0,0.0,0.0,18.285,0.0,0.0,0.0,0.244766,0.0,0.0,0,0.0,71974.4,0.0,1447.35,4.95,0.0,30843.3,20.5868,0.0,20.3479,0.0,145.951,0.0,0.0,0.0,3322.66,0.0,0.0,0.0,4.54723,0.0,0.0,22.5368,0.0,0.0,0.0,142.063,0.0,0.0,0,0.0,0.099,19.3592,0.0,0.0,510482.0,5.02656,0.0,0.0,0.0,398.871,0.0,1.24172,0.0,0.775,0.0,0.99,2.92663,0.0,0.0,18044.6,0.495,0.296667,0.0,0.738875,0.0,164.014,0.0,4.95,0.0,21.6675,0.0,1.7587,0.0,109.88,0.0,138.219,0.0
1,AC18.10658,Various analytical methods,0.0,0.0,130164.0,4.95,0.0,49.5,75.3438,0.0,4.95,0.0,1.98,0.0,0.0,0.0,0.0,105960.0,9.9,10.6074,0.0,0.0,47.7109,0.0,160.617,0.0,164.147,0.0,0.0,0.0,0.0,4.25309,0.0,2.72728,0.0,0.919884,0.0,0.0,0.0,0,0,131417.0,0,0.0,0.0,16.0918,0.0,3.65241,0.0,1.12365,0.0,0.0,0.0,0.0,0.887344,0.0,0.198,0.0,0.0,1153.04,47577.8,0.0,0.0,0.0,0.0,4.34139,0.0,9.71728,0.0,0.403623,0.0,0.0,0,0.0,66855.8,0.0,2084.85,0.99,0.0,26395.2,3.41353,0.0,8.61444,0.0,63.8083,0.0,0.0,0.0,1222.0,0.0,0.0,0.0,1.62096,0.0,0.0,0.0,0.0,0.0,0.0,1967.99,0.0,0.0,0,0.0,1.98,41.2221,0.0,0.0,471939.0,2.72937,0.0,0.0,0.0,126.126,0.0,4.95,0.0,0.623667,0.0,0.99,0.459332,0.0,0.0,12046.2,0.495,0.38266,0.0,4.95,0.0,338.069,0.0,4.95,0.0,23.4976,0.0,2.56728,0.0,97.2007,0.0,71.8117,0.0
2,AC18.10659,Various analytical methods,0.0,0.0,166466.0,4.95,0.0,49.5,559.767,0.0,1.90238,0.0,0.099,0.0,0.0,0.0,0.0,93249.4,9.9,50.9749,0.0,0.0,33.8459,0.0,152.59,5.36868,64.069,0.0,0.0,0.0,0.0,4.23599,0.0,2.30137,0.0,1.68081,0.0,0.0,0.0,0,0,103976.0,0,0.0,0.0,20.527,0.0,5.26368,0.0,1.66295,0.0,0.0,0.0,0.0,0.796858,0.0,0.198,0.0,0.0,20724.7,0.0,0.0,0.0,0.0,0.0,24.6313,0.0,15.9172,0.0,0.309409,0.0,0.0,0,0.0,50986.8,0.0,1655.99,4.95,0.0,25846.7,7.54987,0.0,28.0001,0.0,45.4487,0.0,0.0,0.0,4213.48,0.0,0.0,0.0,6.55797,0.0,0.0,102.384,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.099,24.9814,0.0,0.0,516799.0,5.90427,0.0,2.2322,0.0,577.552,0.0,4.95,0.0,0.704,0.0,0.99,8.21796,0.0,0.0,12679.1,0.495,0.315905,0.0,1.80223,0.0,285.656,0.0,4.95,0.0,22.0328,0.0,2.10682,0.0,96.4761,0.0,94.4754,0.0
3,AC18.10660,Various analytical methods,0.0,0.0,113681.0,20.3334,0.0,184.118,345.435,0.0,2.08619,0.0,1.0168,0.0,0.0,0.0,0.0,61274.2,9.9,62.3084,0.0,0.0,13.4373,0.0,94.6692,6.94152,29.1472,0.0,0.0,0.0,0.0,4.95937,0.0,2.83346,0.0,1.16011,0.0,0.0,0.0,0,0,54839.4,0,0.0,0.0,15.7656,0.0,5.57406,0.0,1.80039,0.0,0.0,0.0,0.0,0.954143,0.0,0.198,0.0,0.0,28491.1,105422.0,0.0,0.0,0.0,0.0,32.51,0.0,58.2096,0.0,0.37275,0.0,0.0,0,0.0,59414.6,0.0,931.386,0.99,0.0,13171.6,10.8257,0.0,29.3474,0.0,23.8864,0.0,0.0,0.0,1995.49,0.0,0.0,0.0,7.6481,0.0,0.0,129.756,0.0,0.0,0.0,405.836,0.0,0.0,0,0.0,1.98,11.596,0.0,0.0,554594.0,5.9369,0.0,3.88363,0.0,121.945,0.0,4.95,0.0,0.805333,0.0,0.99,13.4404,0.0,0.0,8292.5,0.512824,0.405581,0.0,2.4143,0.0,89.1225,0.0,19.8,0.0,26.6669,0.0,2.63838,0.0,76.8661,0.0,196.997,0.0
4,AC18.10661,Various analytical methods,0.0,0.0,167018.0,4.95,0.0,49.5,291.901,0.0,0.978537,0.0,1.98,0.0,0.0,0.0,0.0,56166.8,9.9,32.7786,0.0,0.0,18.5679,0.0,96.781,0.833107,47.9028,0.0,0.0,0.0,0.0,3.47164,0.0,1.98648,0.0,1.11087,0.0,0.0,0.0,0,0,61419.8,0,0.0,0.0,18.0979,0.0,3.91527,0.0,1.02133,0.0,0.0,0.0,0.0,0.655667,0.0,0.198,0.0,0.0,7631.7,49017.8,0.0,0.0,0.0,0.0,15.2848,0.0,15.9041,0.0,0.28464,0.0,0.0,0,0.0,32658.4,0.0,884.67,4.95,0.0,42710.3,3.70518,0.0,18.9081,0.0,31.2601,0.0,0.0,0.0,2330.39,0.0,0.0,0.0,4.27196,0.0,0.0,17.4345,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.98,15.5311,0.0,0.0,576651.0,4.05993,0.0,0.0,0.0,633.686,0.0,4.95,0.0,0.559733,0.0,0.99,1.81279,0.0,0.0,7130.97,0.495,0.271884,0.0,0.525268,0.0,129.992,0.0,4.95,0.0,18.3007,0.0,1.84803,0.0,79.3092,0.0,126.564,0.0
5,AC18.10662,Various analytical methods,0.0,0.0,146523.0,7.5875,0.0,24.4444,1035.85,0.0,2.41665,0.0,0.930401,0.0,0.0,0.0,0.0,25145.5,9.9,82.4716,0.0,0.0,9.66623,0.0,84.6666,12.0269,24.92,0.0,0.0,0.0,0.0,6.39955,0.0,3.26444,0.0,1.50099,0.0,0.0,0.0,0,0,46537.2,0,0.0,0.0,20.3256,0.0,7.56195,0.0,1.68009,0.0,6.98841,0.0,0.0,1.16816,0.0,0.198,0.0,0.0,35238.4,11886.7,0.0,0.0,0.0,0.0,41.944,0.0,54.7256,0.0,0.402674,0.0,0.0,0,0.0,14096.7,0.0,513.944,4.95,0.0,26575.7,11.8041,0.0,38.4082,0.0,0.0,0.0,0.0,0.0,2033.02,30.8633,0.0,0.0,9.91219,0.0,0.0,174.764,0.0,0.0,0.0,972.354,0.0,0.0,0,0.0,1.98,8.372,0.0,0.0,677470.0,8.05296,0.0,4.92812,0.0,157.872,0.0,4.95,0.0,1.1007,0.0,0.99,16.3024,0.0,0.0,6607.18,0.977369,0.445998,0.0,4.8534,0.0,64.766,0.0,13.4555,0.0,32.3943,0.0,2.81935,0.0,89.2073,0.0,244.316,0.0
6,AC18.10663,Various analytical methods,0.0,0.0,162432.0,501.354,0.0,1521.5,707.281,0.0,3.32913,0.0,22.5235,0.0,0.0,0.0,0.0,701.387,9.9,102.178,0.0,0.0,2.07521,0.0,173.212,11.8114,32.5457,0.0,0.0,0.0,0.0,5.86532,0.0,3.39524,0.0,1.40535,0.0,0.0,0.0,0,0,41275.0,0,0.0,0.0,21.7834,0.0,6.43853,0.0,2.03657,0.0,0.0,0.0,0.0,1.17858,0.0,0.198,0.0,0.0,31738.4,38289.4,0.0,0.0,0.0,0.0,52.0238,0.0,48.1423,0.0,0.466705,0.0,0.0,0,0.0,6693.23,0.0,42.2842,4.95,0.0,2268.09,16.4382,0.0,41.9242,0.0,0.0,0.0,0.0,0.0,782.956,22.5833,0.0,0.0,11.5727,0.0,0.0,150.196,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.19058,15.8157,0.0,0.0,699879.0,7.42737,0.0,19.4762,0.0,77.9847,0.0,1.34717,0.0,0.958217,0.0,0.99,18.3521,0.0,0.0,8216.88,0.830808,0.507184,0.0,3.43703,0.0,113.521,0.0,93.4054,0.0,31.4419,0.0,3.23262,0.0,41.7167,0.0,238.14,0.0
7,AC18.10664,Various analytical methods,0.0,74609.4,0.0,0.0,0.0,0.0,34.6154,0.0,0.0,0.0,0.0,213878.0,0.0,0.0,6639.11,0.0,0.0,7.51305,0.0,283.41,60935.6,128.555,0.0,0.0,23358.3,0.0,0.0,0.0,0.0,0.547877,0.0,0.0,0.0,0.0,0.0,24353.1,11133.0,0,0,0.0,0,0.0,0.0,11.6418,0.0,0.637127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,804.744,0.0,0.0,0.0,0.0,0.0,0.0,45.6502,0.0,41296.8,0.0,0.0,0.0,0.0,0,5255.6,0.0,53533.1,0.0,2.94178,2709.93,0.0,0.0,0.0,0.0,0.0,231094.0,0.0,0.0,3501.66,0.0,0.0,0.0,0.0,1.37889,0.0,0.0,0.0,0.0,0.0,0.0,3753.07,0.0,0.0,0,0.0,0.0,0.0,0.0,28499.1,0.0,0.0,0.0,66.2352,0.0,38.2089,0.0,0.0,0.0,0.117312,0.0,0.0,0.0,0.0,1334.8,0.0,0.0,0.0495,0.0,0.0,0.0,25.6227,0.0,0.0,0.0,17.6113,0.0,0.0,0.0,50.5492,0.0,2476.33,0.0
8,AC18.10665,Various analytical methods,0.0,45654.1,0.0,15.9202,0.0,0.0,15.1257,0.0,0.0,0.0,0.0,542148.0,0.0,0.0,2418.98,0.0,2.31311,1.65793,0.0,239.583,29731.3,23.369,0.0,0.0,5644.84,0.0,0.0,0.0,0.0,0.173657,0.0,0.0,0.0,0.0,0.0,14293.6,8735.28,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.179234,0.0,397.506,0.0,0.0,0.0,0.0,0.0,0.0,1.13135,0.0,18059.4,0.0,0.0,0.0,0.0,0,1069.59,0.0,28364.0,0.0,1.21149,2904.0,0.0,0.0,0.0,0.0,0.0,91936.9,0.0,0.0,1445.8,0.0,0.0,0.0,0.0,0.21299,0.0,0.0,0.0,0.0,0.0,0.0,5523.67,0.0,0.0,0,0.0,0.0,0.0,0.0,7553.98,0.0,0.0,0.0,1.16954,0.0,15.6903,0.0,0.0,0.0,0.0495,0.0,0.0,0.0,0.0,282.19,0.0,0.0,0.0495,0.0,0.0,0.0,7.80025,0.0,98.3143,0.0,3.01244,0.0,0.0,0.0,759.497,0.0,1138.99,0.0
9,AC18.13566,Various analytical methods,0.0,189697.0,0.0,0.0,0.0,0.0,7852.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3583.1,0.0,0.0,31176.6,0.0,0.0,0.0,1311.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.561831,0.0,0.0,15921.5,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.248949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5213.27,0.0,0.0,0.0,0.109122,0.0,0.0,0,50656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3556.51,0.0,3582.89,0.0,0.0,3517.54,0.0,0.0,0.0,2034.64,1491.92,0.0,511.643,0.0,0.0,238.943,0.0,1813.01,0.0,0.0,0,0.0,0.0,0.0,0.0,175932.0,0.0,15.3733,0.0,0.0,0.0,1878.27,0.0,0.0,0.0,0.0,0.0,0.0,6.17799,0.0,0.0,0.0,0.0,0.187343,0.0,0.0,0.0,59.5163,0.0,38.0085,0.0,583.695,0.0,1.06582,0.0,1970.57,0.0,34230.8,0.0
